[2025-10-12 13:42:34.413] [INIT].... → Crawl4AI 0.7.4 
[2025-10-12 13:42:38.664] [FETCH]... ↓ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 4.22s 
[2025-10-12 13:43:46.545] [COMPLETE] ● https://ai.pydantic.dev/deferred-tools/                                                              | ✓ | ⏱: 1.07s 
[2025-10-12 13:43:47.338] [FETCH]... ↓ https://ai.pydantic.dev/dependencies/                                                                | ✓ | ⏱: 0.78s 
[2025-10-12 13:43:47.410] [SCRAPE].. ◆ https://ai.pydantic.dev/dependencies/                                                                | ✓ | ⏱: 0.07s 
[2025-10-12 13:43:47.421] [COMPLETE] ● https://ai.pydantic.dev/dependencies/                                                                | ✓ | ⏱: 0.86s 
[2025-10-12 13:43:48.108] [FETCH]... ↓ https://ai.pydantic.dev/direct/                                                                      | ✓ | ⏱: 0.68s 
[2025-10-12 13:43:48.166] [SCRAPE].. ◆ https://ai.pydantic.dev/direct/                                                                      | ✓ | ⏱: 0.05s 
[2025-10-12 13:43:48.174] [COMPLETE] ● https://ai.pydantic.dev/direct/                                                                      | ✓ | ⏱: 0.75s 
[2025-10-12 13:43:49.050] [FETCH]... ↓ https://ai.pydantic.dev/evals/                                                                       | ✓ | ⏱: 0.87s 
[2025-10-12 13:43:49.153] [SCRAPE].. ◆ https://ai.pydantic.dev/evals/                                                                       | ✓ | ⏱: 0.10s 
[2025-10-12 13:43:49.164] [COMPLETE] ● https://ai.pydantic.dev/evals/                                                                       | ✓ | ⏱: 0.98s 
[2025-10-12 13:43:50.114] [FETCH]... ↓ https://ai.pydantic.dev/graph/                                                                       | ✓ | ⏱: 0.94s 
[2025-10-12 13:43:50.262] [SCRAPE].. ◆ https://ai.pydantic.dev/graph/                                                                       | ✓ | ⏱: 0.14s 
[2025-10-12 13:43:50.262] [COMPLETE] ● https://ai.pydantic.dev/graph/                                                                       | ✓ | ⏱: 1.10s 
[2025-10-12 13:43:50.875] [FETCH]... ↓ https://ai.pydantic.dev/help/                                                                        | ✓ | ⏱: 0.61s 
[2025-10-12 13:43:50.927] [SCRAPE].. ◆ https://ai.pydantic.dev/help/                                                                        | ✓ | ⏱: 0.04s 
[2025-10-12 13:43:50.927] [COMPLETE] ● https://ai.pydantic.dev/help/                                                                        | ✓ | ⏱: 0.66s 
[2025-10-12 13:43:51.660] [FETCH]... ↓ https://ai.pydantic.dev/input/                                                                       | ✓ | ⏱: 0.73s 
[2025-10-12 13:43:51.720] [SCRAPE].. ◆ https://ai.pydantic.dev/input/                                                                       | ✓ | ⏱: 0.04s 
[2025-10-12 13:43:51.720] [COMPLETE] ● https://ai.pydantic.dev/input/                                                                       | ✓ | ⏱: 0.79s 
[2025-10-12 13:43:52.538] [FETCH]... ↓ https://ai.pydantic.dev/install/                                                                     | ✓ | ⏱: 0.80s 
[2025-10-12 13:43:52.602] [SCRAPE].. ◆ https://ai.pydantic.dev/install/                                                                     | ✓ | ⏱: 0.06s 
[2025-10-12 13:43:52.602] [COMPLETE] ● https://ai.pydantic.dev/install/                                                                     | ✓ | ⏱: 0.88s 
[2025-10-12 13:43:53.549] [FETCH]... ↓ https://ai.pydantic.dev/logfire/                                                                     | ✓ | ⏱: 0.93s 
[2025-10-12 13:43:53.676] [SCRAPE].. ◆ https://ai.pydantic.dev/logfire/                                                                     | ✓ | ⏱: 0.12s 
[2025-10-12 13:43:53.676] [COMPLETE] ● https://ai.pydantic.dev/logfire/                                                                     | ✓ | ⏱: 1.07s 
[2025-10-12 13:43:54.440] [FETCH]... ↓ https://ai.pydantic.dev/message-history/                                                             | ✓ | ⏱: 0.75s 
[2025-10-12 13:43:54.583] [SCRAPE].. ◆ https://ai.pydantic.dev/message-history/                                                             | ✓ | ⏱: 0.14s 
[2025-10-12 13:43:54.583] [COMPLETE] ● https://ai.pydantic.dev/message-history/                                                             | ✓ | ⏱: 0.90s 
[2025-10-12 13:43:55.474] [FETCH]... ↓ https://ai.pydantic.dev/multi-agent-applications/                                                    | ✓ | ⏱: 0.88s 
[2025-10-12 13:43:55.558] [SCRAPE].. ◆ https://ai.pydantic.dev/multi-agent-applications/                                                    | ✓ | ⏱: 0.07s 
[2025-10-12 13:43:55.562] [COMPLETE] ● https://ai.pydantic.dev/multi-agent-applications/                                                    | ✓ | ⏱: 0.97s 
[2025-10-12 13:43:56.573] [FETCH]... ↓ https://ai.pydantic.dev/output/                                                                      | ✓ | ⏱: 1.00s 
[2025-10-12 13:43:56.697] [SCRAPE].. ◆ https://ai.pydantic.dev/output/                                                                      | ✓ | ⏱: 0.12s 
[2025-10-12 13:43:56.697] [COMPLETE] ● https://ai.pydantic.dev/output/                                                                      | ✓ | ⏱: 1.14s 
[2025-10-12 13:43:57.483] [FETCH]... ↓ https://ai.pydantic.dev/retries/                                                                     | ✓ | ⏱: 0.77s 
[2025-10-12 13:43:57.565] [SCRAPE].. ◆ https://ai.pydantic.dev/retries/                                                                     | ✓ | ⏱: 0.08s 
[2025-10-12 13:43:57.576] [COMPLETE] ● https://ai.pydantic.dev/retries/                                                                     | ✓ | ⏱: 0.87s 
[2025-10-12 13:43:58.347] [FETCH]... ↓ https://ai.pydantic.dev/testing/                                                                     | ✓ | ⏱: 0.75s 
[2025-10-12 13:43:58.444] [SCRAPE].. ◆ https://ai.pydantic.dev/testing/                                                                     | ✓ | ⏱: 0.09s 
[2025-10-12 13:43:58.444] [COMPLETE] ● https://ai.pydantic.dev/testing/                                                                     | ✓ | ⏱: 0.87s 
[2025-10-12 13:43:59.232] [FETCH]... ↓ https://ai.pydantic.dev/thinking/                                                                    | ✓ | ⏱: 0.77s 
[2025-10-12 13:43:59.304] [SCRAPE].. ◆ https://ai.pydantic.dev/thinking/                                                                    | ✓ | ⏱: 0.07s 
[2025-10-12 13:43:59.304] [COMPLETE] ● https://ai.pydantic.dev/thinking/                                                                    | ✓ | ⏱: 0.85s 
[2025-10-12 13:44:00.090] [FETCH]... ↓ https://ai.pydantic.dev/third-party-tools/                                                           | ✓ | ⏱: 0.77s 
[2025-10-12 13:44:00.154] [SCRAPE].. ◆ https://ai.pydantic.dev/third-party-tools/                                                           | ✓ | ⏱: 0.06s 
[2025-10-12 13:44:00.154] [COMPLETE] ● https://ai.pydantic.dev/third-party-tools/                                                           | ✓ | ⏱: 0.85s 
[2025-10-12 13:44:00.993] [FETCH]... ↓ https://ai.pydantic.dev/tools-advanced/                                                              | ✓ | ⏱: 0.83s 
[2025-10-12 13:44:01.078] [SCRAPE].. ◆ https://ai.pydantic.dev/tools-advanced/                                                              | ✓ | ⏱: 0.08s 
[2025-10-12 13:44:01.086] [COMPLETE] ● https://ai.pydantic.dev/tools-advanced/                                                              | ✓ | ⏱: 0.93s 
[2025-10-12 13:44:01.885] [FETCH]... ↓ https://ai.pydantic.dev/tools/                                                                       | ✓ | ⏱: 0.78s 
[2025-10-12 13:44:02.010] [SCRAPE].. ◆ https://ai.pydantic.dev/tools/                                                                       | ✓ | ⏱: 0.11s 
[2025-10-12 13:44:02.026] [COMPLETE] ● https://ai.pydantic.dev/tools/                                                                       | ✓ | ⏱: 0.92s 
[2025-10-12 13:44:03.070] [FETCH]... ↓ https://ai.pydantic.dev/toolsets/                                                                    | ✓ | ⏱: 1.03s 
[2025-10-12 13:44:03.185] [SCRAPE].. ◆ https://ai.pydantic.dev/toolsets/                                                                    | ✓ | ⏱: 0.11s 
[2025-10-12 13:44:03.193] [COMPLETE] ● https://ai.pydantic.dev/toolsets/                                                                    | ✓ | ⏱: 1.15s 
[2025-10-12 13:44:03.843] [FETCH]... ↓ https://ai.pydantic.dev/troubleshooting/                                                             | ✓ | ⏱: 0.64s 
[2025-10-12 13:44:03.883] [SCRAPE].. ◆ https://ai.pydantic.dev/troubleshooting/                                                             | ✓ | ⏱: 0.04s 
[2025-10-12 13:44:03.894] [COMPLETE] ● https://ai.pydantic.dev/troubleshooting/                                                             | ✓ | ⏱: 0.70s 
[2025-10-12 13:44:05.308] [FETCH]... ↓ https://ai.pydantic.dev/api/ag_ui/                                                                   | ✓ | ⏱: 1.41s 
[2025-10-12 13:44:05.458] [SCRAPE].. ◆ https://ai.pydantic.dev/api/ag_ui/                                                                   | ✓ | ⏱: 0.14s 
[2025-10-12 13:44:05.458] [COMPLETE] ● https://ai.pydantic.dev/api/ag_ui/                                                                   | ✓ | ⏱: 1.56s 
[2025-10-12 13:44:07.062] [FETCH]... ↓ https://ai.pydantic.dev/api/agent/                                                                   | ✓ | ⏱: 1.59s 
[2025-10-12 13:44:08.765] [SCRAPE].. ◆ https://ai.pydantic.dev/api/agent/                                                                   | ✓ | ⏱: 1.70s 
[2025-10-12 13:44:08.765] [COMPLETE] ● https://ai.pydantic.dev/api/agent/                                                                   | ✓ | ⏱: 3.31s 
[2025-10-12 13:44:09.881] [FETCH]... ↓ https://ai.pydantic.dev/api/builtin_tools/                                                           | ✓ | ⏱: 1.11s 
[2025-10-12 13:44:10.006] [SCRAPE].. ◆ https://ai.pydantic.dev/api/builtin_tools/                                                           | ✓ | ⏱: 0.11s 
[2025-10-12 13:44:10.006] [COMPLETE] ● https://ai.pydantic.dev/api/builtin_tools/                                                           | ✓ | ⏱: 1.24s 
[2025-10-12 13:44:10.755] [FETCH]... ↓ https://ai.pydantic.dev/api/common_tools/                                                            | ✓ | ⏱: 0.74s 
[2025-10-12 13:44:10.809] [SCRAPE].. ◆ https://ai.pydantic.dev/api/common_tools/                                                            | ✓ | ⏱: 0.05s 
[2025-10-12 13:44:10.809] [COMPLETE] ● https://ai.pydantic.dev/api/common_tools/                                                            | ✓ | ⏱: 0.80s 
[2025-10-12 13:44:11.727] [FETCH]... ↓ https://ai.pydantic.dev/api/direct/                                                                  | ✓ | ⏱: 0.91s 
[2025-10-12 13:44:11.881] [SCRAPE].. ◆ https://ai.pydantic.dev/api/direct/                                                                  | ✓ | ⏱: 0.14s 
[2025-10-12 13:44:11.881] [COMPLETE] ● https://ai.pydantic.dev/api/direct/                                                                  | ✓ | ⏱: 1.07s 
[2025-10-12 13:44:13.149] [FETCH]... ↓ https://ai.pydantic.dev/api/durable_exec/                                                            | ✓ | ⏱: 1.26s 
[2025-10-12 13:44:14.209] [SCRAPE].. ◆ https://ai.pydantic.dev/api/durable_exec/                                                            | ✓ | ⏱: 1.06s 
[2025-10-12 13:44:14.225] [COMPLETE] ● https://ai.pydantic.dev/api/durable_exec/                                                            | ✓ | ⏱: 2.34s 
[2025-10-12 13:44:14.241] [ERROR]... × Error closing context: BrowserContext.close: Target page, context or browser has been closed 
[2025-10-12 13:44:28.451] [INIT].... → Crawl4AI 0.7.4 
[2025-10-12 13:44:32.514] [FETCH]... ↓ https://ai.pydantic.dev/a2a/                                                                         | ✓ | ⏱: 4.04s 
[2025-10-12 13:44:32.644] [SCRAPE].. ◆ https://ai.pydantic.dev/a2a/                                                                         | ✓ | ⏱: 0.12s 
[2025-10-12 13:44:32.644] [COMPLETE] ● https://ai.pydantic.dev/a2a/                                                                         | ✓ | ⏱: 4.18s 
[2025-10-12 13:44:32.806] [FETCH]... ↓ https://ai.pydantic.dev/common-tools/                                                                | ✓ | ⏱: 4.34s 
[2025-10-12 13:44:32.873] [SCRAPE].. ◆ https://ai.pydantic.dev/common-tools/                                                                | ✓ | ⏱: 0.06s 
[2025-10-12 13:44:32.873] [COMPLETE] ● https://ai.pydantic.dev/common-tools/                                                                | ✓ | ⏱: 4.41s 
[2025-10-12 13:44:32.898] [FETCH]... ↓ https://ai.pydantic.dev/changelog/                                                                   | ✓ | ⏱: 4.44s 
[2025-10-12 13:44:32.949] [SCRAPE].. ◆ https://ai.pydantic.dev/changelog/                                                                   | ✓ | ⏱: 0.05s 
[2025-10-12 13:44:32.949] [COMPLETE] ● https://ai.pydantic.dev/changelog/                                                                   | ✓ | ⏱: 4.49s 
[2025-10-12 13:44:33.140] [FETCH]... ↓ https://ai.pydantic.dev/cli/                                                                         | ✓ | ⏱: 4.67s 
[2025-10-12 13:44:33.232] [SCRAPE].. ◆ https://ai.pydantic.dev/cli/                                                                         | ✓ | ⏱: 0.09s 
[2025-10-12 13:44:33.240] [COMPLETE] ● https://ai.pydantic.dev/cli/                                                                         | ✓ | ⏱: 4.77s 
[2025-10-12 13:44:33.248] [FETCH]... ↓ https://ai.pydantic.dev/deferred-tools/                                                              | ✓ | ⏱: 4.78s 
[2025-10-12 13:44:33.438] [SCRAPE].. ◆ https://ai.pydantic.dev/deferred-tools/                                                              | ✓ | ⏱: 0.18s 
[2025-10-12 13:44:33.446] [COMPLETE] ● https://ai.pydantic.dev/deferred-tools/                                                              | ✓ | ⏱: 4.98s 
[2025-10-12 13:44:33.635] [FETCH]... ↓ https://ai.pydantic.dev/contributing/                                                                | ✓ | ⏱: 5.16s 
[2025-10-12 13:44:33.756] [SCRAPE].. ◆ https://ai.pydantic.dev/contributing/                                                                | ✓ | ⏱: 0.11s 
[2025-10-12 13:44:33.760] [COMPLETE] ● https://ai.pydantic.dev/contributing/                                                                | ✓ | ⏱: 5.30s 
[2025-10-12 13:44:33.832] [FETCH]... ↓ https://ai.pydantic.dev/builtin-tools/                                                               | ✓ | ⏱: 5.36s 
[2025-10-12 13:44:33.963] [SCRAPE].. ◆ https://ai.pydantic.dev/builtin-tools/                                                               | ✓ | ⏱: 0.13s 
[2025-10-12 13:44:33.971] [COMPLETE] ● https://ai.pydantic.dev/builtin-tools/                                                               | ✓ | ⏱: 5.51s 
[2025-10-12 13:44:34.111] [FETCH]... ↓ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 5.64s 
[2025-10-12 13:44:34.284] [SCRAPE].. ◆ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 0.16s 
[2025-10-12 13:44:34.294] [COMPLETE] ● https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 5.83s 
[2025-10-12 13:44:34.346] [FETCH]... ↓ https://ai.pydantic.dev/ag-ui/                                                                       | ✓ | ⏱: 5.87s 
[2025-10-12 13:44:34.438] [SCRAPE].. ◆ https://ai.pydantic.dev/ag-ui/                                                                       | ✓ | ⏱: 0.09s 
[2025-10-12 13:44:34.438] [COMPLETE] ● https://ai.pydantic.dev/ag-ui/                                                                       | ✓ | ⏱: 5.98s 
[2025-10-12 13:44:34.438] [FETCH]... ↓ https://ai.pydantic.dev/agents/                                                                      | ✓ | ⏱: 5.98s 
[2025-10-12 13:44:34.592] [SCRAPE].. ◆ https://ai.pydantic.dev/agents/                                                                      | ✓ | ⏱: 0.15s 
[2025-10-12 13:44:34.592] [COMPLETE] ● https://ai.pydantic.dev/agents/                                                                      | ✓ | ⏱: 6.14s 
[2025-10-12 13:44:35.947] [FETCH]... ↓ https://ai.pydantic.dev/multi-agent-applications/                                                    | ✓ | ⏱: 1.32s 
[2025-10-12 13:44:36.049] [SCRAPE].. ◆ https://ai.pydantic.dev/multi-agent-applications/                                                    | ✓ | ⏱: 0.10s 
[2025-10-12 13:44:36.049] [COMPLETE] ● https://ai.pydantic.dev/multi-agent-applications/                                                    | ✓ | ⏱: 1.43s 
[2025-10-12 13:44:36.556] [FETCH]... ↓ https://ai.pydantic.dev/dependencies/                                                                | ✓ | ⏱: 1.95s 
[2025-10-12 13:44:36.740] [SCRAPE].. ◆ https://ai.pydantic.dev/dependencies/                                                                | ✓ | ⏱: 0.17s 
[2025-10-12 13:44:36.748] [COMPLETE] ● https://ai.pydantic.dev/dependencies/                                                                | ✓ | ⏱: 2.14s 
[2025-10-12 13:44:36.816] [FETCH]... ↓ https://ai.pydantic.dev/message-history/                                                             | ✓ | ⏱: 2.20s 
[2025-10-12 13:44:36.917] [SCRAPE].. ◆ https://ai.pydantic.dev/message-history/                                                             | ✓ | ⏱: 0.09s 
[2025-10-12 13:44:36.917] [COMPLETE] ● https://ai.pydantic.dev/message-history/                                                             | ✓ | ⏱: 2.30s 
[2025-10-12 13:44:37.135] [FETCH]... ↓ https://ai.pydantic.dev/help/                                                                        | ✓ | ⏱: 2.52s 
[2025-10-12 13:44:37.228] [SCRAPE].. ◆ https://ai.pydantic.dev/help/                                                                        | ✓ | ⏱: 0.08s 
[2025-10-12 13:44:37.232] [COMPLETE] ● https://ai.pydantic.dev/help/                                                                        | ✓ | ⏱: 2.62s 
[2025-10-12 13:44:37.300] [FETCH]... ↓ https://ai.pydantic.dev/install/                                                                     | ✓ | ⏱: 2.68s 
[2025-10-12 13:44:37.434] [SCRAPE].. ◆ https://ai.pydantic.dev/install/                                                                     | ✓ | ⏱: 0.13s 
[2025-10-12 13:44:37.434] [COMPLETE] ● https://ai.pydantic.dev/install/                                                                     | ✓ | ⏱: 2.82s 
[2025-10-12 13:44:37.504] [FETCH]... ↓ https://ai.pydantic.dev/input/                                                                       | ✓ | ⏱: 2.88s 
[2025-10-12 13:44:37.609] [SCRAPE].. ◆ https://ai.pydantic.dev/input/                                                                       | ✓ | ⏱: 0.11s 
[2025-10-12 13:44:37.617] [COMPLETE] ● https://ai.pydantic.dev/input/                                                                       | ✓ | ⏱: 3.00s 
[2025-10-12 13:44:37.617] [FETCH]... ↓ https://ai.pydantic.dev/logfire/                                                                     | ✓ | ⏱: 3.01s 
[2025-10-12 13:44:37.795] [SCRAPE].. ◆ https://ai.pydantic.dev/logfire/                                                                     | ✓ | ⏱: 0.17s 
[2025-10-12 13:44:37.805] [COMPLETE] ● https://ai.pydantic.dev/logfire/                                                                     | ✓ | ⏱: 3.19s 
[2025-10-12 13:44:37.996] [FETCH]... ↓ https://ai.pydantic.dev/graph/                                                                       | ✓ | ⏱: 3.38s 
[2025-10-12 13:44:38.206] [SCRAPE].. ◆ https://ai.pydantic.dev/graph/                                                                       | ✓ | ⏱: 0.20s 
[2025-10-12 13:44:38.206] [COMPLETE] ● https://ai.pydantic.dev/graph/                                                                       | ✓ | ⏱: 3.60s 
[2025-10-12 13:44:38.215] [FETCH]... ↓ https://ai.pydantic.dev/direct/                                                                      | ✓ | ⏱: 3.61s 
[2025-10-12 13:44:38.263] [SCRAPE].. ◆ https://ai.pydantic.dev/direct/                                                                      | ✓ | ⏱: 0.04s 
[2025-10-12 13:44:38.263] [COMPLETE] ● https://ai.pydantic.dev/direct/                                                                      | ✓ | ⏱: 3.66s 
[2025-10-12 13:44:38.263] [FETCH]... ↓ https://ai.pydantic.dev/evals/                                                                       | ✓ | ⏱: 3.66s 
[2025-10-12 13:44:38.365] [SCRAPE].. ◆ https://ai.pydantic.dev/evals/                                                                       | ✓ | ⏱: 0.09s 
[2025-10-12 13:44:38.365] [COMPLETE] ● https://ai.pydantic.dev/evals/                                                                       | ✓ | ⏱: 3.76s 
[2025-10-12 13:44:39.750] [FETCH]... ↓ https://ai.pydantic.dev/api/ag_ui/                                                                   | ✓ | ⏱: 1.35s 
[2025-10-12 13:44:39.995] [SCRAPE].. ◆ https://ai.pydantic.dev/api/ag_ui/                                                                   | ✓ | ⏱: 0.24s 
[2025-10-12 13:44:39.995] [COMPLETE] ● https://ai.pydantic.dev/api/ag_ui/                                                                   | ✓ | ⏱: 1.61s 
[2025-10-12 13:44:40.222] [FETCH]... ↓ https://ai.pydantic.dev/troubleshooting/                                                             | ✓ | ⏱: 1.82s 
[2025-10-12 13:44:40.323] [SCRAPE].. ◆ https://ai.pydantic.dev/troubleshooting/                                                             | ✓ | ⏱: 0.10s 
[2025-10-12 13:44:40.331] [COMPLETE] ● https://ai.pydantic.dev/troubleshooting/                                                             | ✓ | ⏱: 1.94s 
[2025-10-12 13:44:40.917] [FETCH]... ↓ https://ai.pydantic.dev/thinking/                                                                    | ✓ | ⏱: 2.53s 
[2025-10-12 13:44:41.013] [SCRAPE].. ◆ https://ai.pydantic.dev/thinking/                                                                    | ✓ | ⏱: 0.10s 
[2025-10-12 13:44:41.025] [COMPLETE] ● https://ai.pydantic.dev/thinking/                                                                    | ✓ | ⏱: 2.64s 
[2025-10-12 13:44:41.046] [FETCH]... ↓ https://ai.pydantic.dev/tools-advanced/                                                              | ✓ | ⏱: 2.66s 
[2025-10-12 13:44:41.180] [SCRAPE].. ◆ https://ai.pydantic.dev/tools-advanced/                                                              | ✓ | ⏱: 0.13s 
[2025-10-12 13:44:41.189] [COMPLETE] ● https://ai.pydantic.dev/tools-advanced/                                                              | ✓ | ⏱: 2.80s 
[2025-10-12 13:44:41.201] [FETCH]... ↓ https://ai.pydantic.dev/third-party-tools/                                                           | ✓ | ⏱: 2.82s 
[2025-10-12 13:44:41.278] [SCRAPE].. ◆ https://ai.pydantic.dev/third-party-tools/                                                           | ✓ | ⏱: 0.06s 
[2025-10-12 13:44:41.278] [COMPLETE] ● https://ai.pydantic.dev/third-party-tools/                                                           | ✓ | ⏱: 2.90s 
[2025-10-12 13:44:41.290] [FETCH]... ↓ https://ai.pydantic.dev/toolsets/                                                                    | ✓ | ⏱: 2.90s 
[2025-10-12 13:44:41.430] [SCRAPE].. ◆ https://ai.pydantic.dev/toolsets/                                                                    | ✓ | ⏱: 0.13s 
[2025-10-12 13:44:41.444] [COMPLETE] ● https://ai.pydantic.dev/toolsets/                                                                    | ✓ | ⏱: 3.05s 
[2025-10-12 13:44:41.457] [FETCH]... ↓ https://ai.pydantic.dev/retries/                                                                     | ✓ | ⏱: 3.07s 
[2025-10-12 13:44:41.544] [SCRAPE].. ◆ https://ai.pydantic.dev/retries/                                                                     | ✓ | ⏱: 0.08s 
[2025-10-12 13:44:41.544] [COMPLETE] ● https://ai.pydantic.dev/retries/                                                                     | ✓ | ⏱: 3.17s 
[2025-10-12 13:44:41.552] [FETCH]... ↓ https://ai.pydantic.dev/output/                                                                      | ✓ | ⏱: 3.19s 
[2025-10-12 13:44:41.668] [SCRAPE].. ◆ https://ai.pydantic.dev/output/                                                                      | ✓ | ⏱: 0.10s 
[2025-10-12 13:44:41.668] [COMPLETE] ● https://ai.pydantic.dev/output/                                                                      | ✓ | ⏱: 3.30s 
[2025-10-12 13:44:41.844] [FETCH]... ↓ https://ai.pydantic.dev/testing/                                                                     | ✓ | ⏱: 3.46s 
[2025-10-12 13:44:41.953] [SCRAPE].. ◆ https://ai.pydantic.dev/testing/                                                                     | ✓ | ⏱: 0.11s 
[2025-10-12 13:44:41.961] [COMPLETE] ● https://ai.pydantic.dev/testing/                                                                     | ✓ | ⏱: 3.58s 
[2025-10-12 13:44:41.961] [FETCH]... ↓ https://ai.pydantic.dev/tools/                                                                       | ✓ | ⏱: 3.58s 
[2025-10-12 13:44:42.054] [SCRAPE].. ◆ https://ai.pydantic.dev/tools/                                                                       | ✓ | ⏱: 0.08s 
[2025-10-12 13:44:42.054] [COMPLETE] ● https://ai.pydantic.dev/tools/                                                                       | ✓ | ⏱: 3.68s 
[2025-10-12 13:44:43.613] [FETCH]... ↓ https://ai.pydantic.dev/api/mcp/                                                                     | ✓ | ⏱: 1.53s 
[2025-10-12 13:44:43.927] [SCRAPE].. ◆ https://ai.pydantic.dev/api/mcp/                                                                     | ✓ | ⏱: 0.31s 
[2025-10-12 13:44:43.927] [COMPLETE] ● https://ai.pydantic.dev/api/mcp/                                                                     | ✓ | ⏱: 1.85s 
[2025-10-12 13:44:44.143] [FETCH]... ↓ https://ai.pydantic.dev/api/format_prompt/                                                           | ✓ | ⏱: 2.06s 
[2025-10-12 13:44:44.264] [SCRAPE].. ◆ https://ai.pydantic.dev/api/format_prompt/                                                           | ✓ | ⏱: 0.11s 
